segment, trading _session,stt_buy,stt_sell,exc_txe_nse,exc_txe_bse,sebi_turnover,stamp_duty_buy,ipft_nse,gst_rate
equity,intraday,0,0.00025,0.0000297,0.0000375,0.000001,0.00003,0.0000001,0.18
equity,delivery,0.001,0.001,0.0000297,0.0000375,0.000001,0.00015,0.0000001,0.18
fno,intraday,0,0,0,0,0,0,0,0.18
fno,delivery,0,0,0,0,0,0,0,1.18
