"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1454.5,26046.2,33453.5,7407.3,28.44,-1.92,""
"HDFCBANK",6,716.85,744.6,4301.1,4467.6,166.5,3.87,-0.32,""
"IRFC",27,146.85,93.33,3964.95,2519.91,-1445.04,-36.45,-1.55,""
"JSWENERGY",1,728.7,552.05,728.7,552.05,-176.65,-24.24,-1.53,""
"NHPC",13,89.95,72.13,1169.35,937.69,-231.66,-19.81,-0.76,""
"TATASTEEL",30,164.85,197.96,4945.5,5938.8,993.3,20.08,-0.68,""
"TMCV",10,239.54,358.35,2395.44,3583.5,1188.07,49.6,-1.8,""
"TMPV",10,529.46,375.9,5294.57,3759,-1535.57,-29,-1.34,""
"UJJIVANSFB",6,44.82,53.26,268.92,319.56,50.64,18.83,0.6,""
"VIKASLIFE",159,4.94,1.44,785.36,228.96,-556.4,-70.85,-2.04,""
