"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1359.8,26046.2,31275.4,5229.2,20.08,-0.74,""
"CEATLTD",6,3695,3750.2,22170,22501.2,331.2,1.49,-1.14,""
"IRFC",27,146.85,88,3964.95,2376,-1588.95,-40.07,-0.56,""
"JSWENERGY",1,728.7,563,728.7,563,-165.7,-22.74,-2.6,""
"NHPC",13,89.95,76.95,1169.35,1000.35,-169,-14.45,-0.32,""
"RELIANCE",7,1280,1323.9,8960,9267.3,307.3,3.43,-0.26,""
"TATASTEEL",30,164.85,188.25,4945.5,5647.5,702,14.19,-1.05,""
"TMCV",10,239.54,450.05,2395.44,4500.5,2105.07,87.88,-0.03,""
"TMPV",10,529.46,347.6,5294.57,3476,-1818.56,-34.35,0.14,""
"UJJIVANSFB",6,44.82,70.15,268.92,420.9,151.98,56.51,0.56,""
"VIKASLIFE",824,2.16,1.26,1782.86,1038.24,-744.62,-41.77,0,""
