"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1118.9,26046.2,25734.7,-311.5,-1.2,2.08,""
"HDFCBANK",6,716.85,795.45,4301.1,4772.7,471.6,10.96,-1.78,""
"IRFC",27,146.85,103.24,3964.95,2787.48,-1177.47,-29.7,1.45,""
"JSWENERGY",1,728.7,535.85,728.7,535.85,-192.85,-26.46,1.44,""
"NHPC",13,89.95,81.38,1169.35,1057.94,-111.41,-9.53,0.99,""
"TATASTEEL",30,164.85,210.7,4945.5,6321,1375.5,27.81,0.91,""
"TMCV",10,239.54,442,2395.44,4420,2024.57,84.52,1.56,""
"TMPV",10,529.46,356.3,5294.57,3563,-1731.56,-32.7,-0.45,""
"UJJIVANSFB",6,44.82,59.18,268.92,355.08,86.16,32.04,1.11,""
"VIKASLIFE",159,4.94,1.65,785.36,262.35,-523.01,-66.59,1.23,""
