"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1369,26046.2,31487,5440.8,20.89,-0.73,""
"HDFCBANK",6,716.85,768.55,4301.1,4611.3,310.2,7.21,0.1,""
"IRFC",27,146.85,97.65,3964.95,2636.55,-1328.4,-33.5,-1.36,""
"JSWENERGY",1,728.7,529.05,728.7,529.05,-199.65,-27.4,2.72,""
"NHPC",13,89.95,77.71,1169.35,1010.23,-159.12,-13.61,1.17,""
"TATASTEEL",30,164.85,209.71,4945.5,6291.3,1345.8,27.21,-3.29,""
"TMCV",10,239.54,380.2,2395.44,3802,1406.57,58.72,0.54,""
"TMPV",10,529.46,353,5294.57,3530,-1764.56,-33.33,-1,""
"UJJIVANSFB",6,44.82,54.16,268.92,324.96,56.04,20.84,-3.01,""
"VIKASLIFE",159,4.94,1.46,785.36,232.14,-553.22,-70.44,-4.58,""
