"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,935.4,26046.2,21514.2,-4532,-17.4,-0.18,""
"HDFCBANK",6,716.85,925.45,4301.1,5552.7,1251.6,29.1,-1.27,""
"IRFC",27,146.85,122.05,3964.95,3295.35,-669.6,-16.89,0.54,""
"JSWENERGY",1,728.7,494.65,728.7,494.65,-234.05,-32.12,0.1,""
"NHPC",13,89.95,81.32,1169.35,1057.16,-112.19,-9.59,-0.17,""
"TATASTEEL",30,164.85,189.25,4945.5,5677.5,732,14.8,3.66,""
"TMCV",10,239.54,433.65,2395.44,4336.5,1941.06,81.03,2.24,""
"TMPV",10,529.46,349.8,5294.57,3498,-1796.56,-33.93,0.01,""
"UJJIVANSFB",6,44.82,58.99,268.92,353.94,85.02,31.62,2.2,""
"VIKASLIFE",159,4.94,1.79,785.36,284.61,-500.75,-63.76,0.56,""
