Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1001.9,26046.2,23043.7,-3002.5,-11.53,-1.59
HDFCBANK,6,716.85,991.55,4301.1,5949.3,1648.2,38.32,-0.09
IRFC,27,146.85,126.35,3964.95,3411.45,-553.5,-13.96,-5.45
JPASSOCIAT,30,16.25,3.61,487.61,108.3,-379.31,-77.79,-5
JSWENERGY,1,728.7,471.15,728.7,471.15,-257.55,-35.34,-1.72
NHPC,13,89.95,76.79,1169.35,998.27,-171.08,-14.63,-2
TATASTEEL,30,164.85,172.25,4945.5,5167.5,222,4.49,1.83
TMCV,10,239.54,409.55,2395.44,4095.5,1700.07,70.97,0.22
TMPV,10,529.46,358.6,5294.57,3586,-1708.56,-32.27,-0.06
UJJIVANSFB,6,44.82,51.76,268.92,310.56,41.64,15.48,-2.39
VIKASLIFE,159,4.94,1.77,785.36,281.43,-503.93,-64.17,-3.28
