"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1541.85,26046.2,35462.55,9416.35,36.15,0.76,""
"HDFCBANK",0,716.85,761.45,0,0,0,6.22,-2.08,""
"IRFC",27,146.85,88.31,3964.95,2384.37,-1580.58,-39.86,-0.46,""
"JSWENERGY",1,728.7,565.85,728.7,565.85,-162.85,-22.35,-0.33,""
"NHPC",13,89.95,80.36,1169.35,1044.68,-124.67,-10.66,-0.83,""
"TATASTEEL",30,164.85,187.24,4945.5,5617.2,671.7,13.58,0.45,""
"TMCV",10,239.54,411.75,2395.44,4117.5,1722.07,71.89,0.57,""
"TMPV",10,529.46,333.8,5294.57,3338,-1956.56,-36.95,-0.79,""
"UJJIVANSFB",6,44.82,65.74,268.92,394.44,125.52,46.68,0.17,""
"VIKASLIFE",824,2.16,1.32,1782.86,1087.68,-695.18,-38.99,-1.49,""
