"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1373.5,26046.2,31590.5,5544.3,21.29,-0.47,""
"CEATLTD",6,3695,3755.4,22170,22532.4,362.4,1.63,1.4,""
"IRFC",27,146.85,89.29,3964.95,2410.83,-1554.12,-39.2,0.44,""
"JSWENERGY",1,728.7,561.5,728.7,561.5,-167.2,-22.94,-0.8,""
"NHPC",13,89.95,77.5,1169.35,1007.5,-161.85,-13.84,-1.4,""
"RELIANCE",7,1280,1325,8960,9275,315,3.52,3.43,""
"TATASTEEL",30,164.85,189.3,4945.5,5679,733.5,14.83,-1.91,""
"TMCV",10,239.54,459.65,2395.44,4596.5,2201.06,91.89,2.1,""
"TMPV",10,529.46,345.35,5294.57,3453.5,-1841.06,-34.77,-1.27,""
"UJJIVANSFB",6,44.82,71.94,268.92,431.64,162.72,60.51,3.35,""
"VIKASLIFE",824,2.16,1.26,1782.86,1038.24,-744.62,-41.77,-0.79,""
