"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1363.2,26046.2,31353.6,5307.4,20.38,-1.18,""
"HDFCBANK",6,716.85,759.5,4301.1,4557,255.9,5.95,-0.43,""
"IRFC",27,146.85,97.13,3964.95,2622.51,-1342.44,-33.86,-0.09,""
"JSWENERGY",1,728.7,537.1,728.7,537.1,-191.6,-26.29,0.74,""
"NHPC",13,89.95,79.5,1169.35,1033.5,-135.85,-11.62,0.56,""
"TATASTEEL",30,164.85,207.05,4945.5,6211.5,1266,25.6,-1.08,""
"TMCV",10,239.54,379.8,2395.44,3798,1402.57,58.55,0.28,""
"TMPV",10,529.46,361.1,5294.57,3611,-1683.56,-31.8,-0.04,""
"UJJIVANSFB",6,44.82,53.53,268.92,321.18,52.26,19.43,-1.11,""
"VIKASLIFE",159,4.94,1.43,785.36,227.37,-557.99,-71.05,-2.72,""
