"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,885.05,26046.2,20356.15,-5690.05,-21.85,1.39,""
"HDFCBANK",6,716.85,877.75,4301.1,5266.5,965.4,22.45,1.05,""
"IRFC",27,146.85,98.85,3964.95,2668.95,-1296,-32.69,1.07,""
"JPASSOCIAT",30,16.25,2.48,487.61,74.4,-413.21,-84.74,-4.98,""
"JSWENERGY",1,728.7,479.5,728.7,479.5,-249.2,-34.2,2.45,""
"NHPC",13,89.95,74.15,1169.35,963.95,-205.4,-17.57,2.66,""
"TATASTEEL",30,164.85,200.57,4945.5,6017.1,1071.6,21.67,1.95,""
"TMCV",10,239.54,480.45,2395.44,4804.5,2409.07,100.57,2.05,""
"TMPV",10,529.46,355.15,5294.57,3551.5,-1743.07,-32.92,1.11,""
"UJJIVANSFB",6,44.82,55.77,268.92,334.62,65.7,24.43,2.76,""
"VIKASLIFE",159,4.94,1.36,785.36,216.24,-569.12,-72.47,-1.45,""
