"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1377.8,26046.2,31689.4,5643.2,21.67,0.64,""
"HDFCBANK",6,716.85,762.45,4301.1,4574.7,273.6,6.36,-0.81,""
"IRFC",27,146.85,97.22,3964.95,2624.94,-1340.01,-33.8,-0.45,""
"JSWENERGY",1,728.7,533.05,728.7,533.05,-195.65,-26.85,0.75,""
"NHPC",13,89.95,79.04,1169.35,1027.52,-141.83,-12.13,1.71,""
"TATASTEEL",30,164.85,209.3,4945.5,6279,1333.5,26.96,-0.26,""
"TMCV",10,239.54,378.75,2395.44,3787.5,1392.07,58.11,-0.38,""
"TMPV",10,529.46,361.2,5294.57,3612,-1682.56,-31.78,2.28,""
"UJJIVANSFB",6,44.82,54.25,268.92,325.5,56.58,21.04,0.17,""
"VIKASLIFE",159,4.94,1.47,785.36,233.73,-551.63,-70.24,-1.34,""
