"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,799.1,26046.2,18379.3,-7666.9,-29.44,3.4,""
"HDFCBANK",6,716.85,926.85,4301.1,5561.1,1260,29.29,1.16,""
"IRFC",27,146.85,114.8,3964.95,3099.6,-865.35,-21.82,0.57,""
"JPASSOCIAT-BE",30,16.25,2.95,487.61,88.5,-399.11,-81.85,-4.84,""
"JSWENERGY",1,728.7,439.4,728.7,439.4,-289.3,-39.7,-8.18,""
"NHPC",13,89.95,75.21,1169.35,977.73,-191.62,-16.39,-0.12,""
"TATASTEEL",30,164.85,192.28,4945.5,5768.4,822.9,16.64,2.49,""
"TMCV",10,239.54,443.9,2395.44,4439,2043.56,85.31,-1.18,""
"TMPV",10,529.46,340.55,5294.57,3405.5,-1889.06,-35.68,-1.13,""
"UJJIVANSFB",6,44.82,62.08,268.92,372.48,103.56,38.51,-1.59,""
"VIKASLIFE",159,4.94,1.69,785.36,268.71,-516.65,-65.79,1.81,""
