"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1016.95,26046.2,23389.85,-2656.35,-10.2,-0.38,""
"HDFCBANK",6,716.85,996.6,4301.1,5979.6,1678.5,39.02,0.9,""
"IRFC",27,146.85,121.4,3964.95,3277.8,-687.15,-17.33,3.76,""
"JSWENERGY",1,728.7,485.65,728.7,485.65,-243.05,-33.35,1.3,""
"NHPC",13,89.95,78.23,1169.35,1016.99,-152.36,-13.03,0.71,""
"TATASTEEL",30,164.85,170.9,4945.5,5127,181.5,3.67,0.99,""
"TMCV",10,239.54,426.1,2395.44,4261,1865.57,77.88,3.5,""
"TMPV",10,529.46,363.1,5294.57,3631,-1663.56,-31.42,1.09,""
"UJJIVANSFB",6,44.82,53.19,268.92,319.14,50.22,18.67,-1.92,""
"VIKASLIFE",159,4.94,1.83,785.36,290.97,-494.39,-62.95,1.1,""
