"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1506.7,26046.2,34654.1,8607.9,33.05,2.76,""
"HDFCBANK",6,716.85,799,4301.1,4794,492.9,11.46,1.51,""
"IRFC",27,146.85,100.13,3964.95,2703.51,-1261.44,-31.81,-0.31,""
"JSWENERGY",1,728.7,575.55,728.7,575.55,-153.15,-21.02,0.62,""
"NHPC",13,89.95,75.95,1169.35,987.35,-182,-15.56,2.03,""
"TATASTEEL",30,164.85,200.52,4945.5,6015.6,1070.1,21.64,0.76,""
"TMCV",10,239.54,407.05,2395.44,4070.5,1675.07,69.93,1.06,""
"TMPV",10,529.46,365.2,5294.57,3652,-1642.56,-31.02,1.15,""
"UJJIVANSFB",6,44.82,58.62,268.92,351.72,82.8,30.79,3.3,""
"VIKASLIFE",824,2.16,1.49,1782.86,1227.76,-555.1,-31.14,0,""
