"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,883.2,26046.2,20313.6,-5732.6,-22.01,-3.37,""
"HDFCBANK",6,716.85,931.2,4301.1,5587.2,1286.1,29.9,0.36,""
"IRFC",27,146.85,116.13,3964.95,3135.51,-829.44,-20.92,-3.95,""
"JSWENERGY",1,728.7,479.7,728.7,479.7,-249,-34.17,-1.43,""
"NHPC",13,89.95,77.57,1169.35,1008.41,-160.94,-13.76,-2.33,""
"TATASTEEL",30,164.85,183.56,4945.5,5506.8,561.3,11.35,-2.5,""
"TMCV",10,239.54,432.45,2395.44,4324.5,1929.07,80.53,-2.03,""
"TMPV",10,529.46,337.85,5294.57,3378.5,-1916.06,-36.19,-1.79,""
"UJJIVANSFB",6,44.82,57.89,268.92,347.34,78.42,29.16,-3.93,""
"VIKASLIFE",159,4.94,1.75,785.36,278.25,-507.11,-64.57,-0.57,""
