"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1411.1,26046.2,32455.3,6409.1,24.61,3.58,""
"HDFCBANK",6,716.85,786.85,4301.1,4721.1,420,9.76,2.61,""
"IRFC",27,146.85,100.45,3964.95,2712.15,-1252.8,-31.6,2.29,""
"JSWENERGY",1,728.7,557.05,728.7,557.05,-171.65,-23.56,1.05,""
"NHPC",13,89.95,79.02,1169.35,1027.26,-142.09,-12.15,0.84,""
"TATASTEEL",30,164.85,210.2,4945.5,6306,1360.5,27.51,0.48,""
"TMCV",10,239.54,395.45,2395.44,3954.5,1559.07,65.08,2.95,""
"TMPV",10,529.46,373,5294.57,3730,-1564.56,-29.55,2.64,""
"UJJIVANSFB",6,44.82,54.88,268.92,329.28,60.36,22.45,4.51,""
"VIKASLIFE",159,4.94,1.48,785.36,235.32,-550.04,-70.04,2.78,""
