Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,978.9,26046.2,22514.7,-3531.5,-13.56,-0.39
HDFCBANK,6,716.85,932.1,4301.1,5592.6,1291.5,30.03,-0.55
IRFC,27,146.85,115.46,3964.95,3117.42,-847.53,-21.38,0.34
JPASSOCIAT,30,16.25,3.2,487.61,96,-391.61,-80.31,1.27
JSWENERGY,1,728.7,483.7,728.7,483.7,-245,-33.62,0.75
NHPC,13,89.95,76.95,1169.35,1000.35,-169,-14.45,-2.47
TATASTEEL,30,164.85,207.95,4945.5,6238.5,1293,26.14,2.89
TMCV,10,239.54,472.45,2395.44,4724.5,2329.07,97.23,1.2
TMPV,10,529.46,379.35,5294.57,3793.5,-1501.06,-28.35,0.52
UJJIVANSFB,6,44.82,63.89,268.92,383.34,114.42,42.55,-1.57
VIKASLIFE,159,4.94,1.67,785.36,265.53,-519.83,-66.19,2.45
