"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3276.15,22170,19656.9,-2513.1,-11.34,-0.13,""
"DMART",7,4064,3680,28448,25760,-2688,-9.45,-0.22,""
"IRFC",27,146.85,79.15,3964.95,2137.05,-1827.9,-46.1,-2.39,""
"JSWENERGY",1,728.7,505,728.7,505,-223.7,-30.7,-4.07,""
"NHPC",37,81.51,76.04,3015.91,2813.48,-202.43,-6.71,-0.45,""
"RELIANCE",7,1280,1236,8960,8652,-308,-3.44,-1.75,""
"TATASTEEL",30,164.85,183.65,4945.5,5509.5,564,11.4,0.36,""
"TMCV",10,239.54,427.15,2395.44,4271.5,1876.06,78.32,-1.7,""
"TMPV",10,529.46,303,5294.57,3030,-2264.56,-42.77,0.33,""
"UJJIVANSFB",6,44.82,64.07,268.92,384.42,115.5,42.95,-2.24,""
"VIKASLIFE",1724,1.69,1.22,2916.86,2103.28,-813.58,-27.89,-0.81,""
