"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1308,26046.2,30084,4037.8,15.5,-5.74,""
"HDFCBANK",6,716.85,751.05,4301.1,4506.3,205.2,4.77,-1.77,""
"IRFC",27,146.85,99.35,3964.95,2682.45,-1282.5,-32.35,-3.64,""
"JSWENERGY",1,728.7,517.8,728.7,517.8,-210.9,-28.94,-7.06,""
"NHPC",13,89.95,76.75,1169.35,997.75,-171.6,-14.67,-3.18,""
"TATASTEEL",30,164.85,212,4945.5,6360,1414.5,28.6,-0.04,""
"TMCV",10,239.54,387.2,2395.44,3872,1476.57,61.64,-5.8,""
"TMPV",10,529.46,336.95,5294.57,3369.5,-1925.06,-36.36,-2.64,""
"UJJIVANSFB",6,44.82,57.25,268.92,343.5,74.58,27.73,-3.1,""
"VIKASLIFE-BE",159,4.94,1.53,785.36,243.27,-542.09,-69.02,-3.77,""
