"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1021.25,26046.2,23488.75,-2557.45,-9.82,-0.69,""
"HDFCBANK",6,716.85,984,4301.1,5904,1602.9,37.27,-1.04,""
"IRFC",27,146.85,111.08,3964.95,2999.16,-965.79,-24.36,-0.83,""
"JSWENERGY",1,728.7,473,728.7,473,-255.7,-35.09,-1.22,""
"NHPC",13,89.95,75.39,1169.35,980.07,-189.28,-16.19,-0.82,""
"TATASTEEL",30,164.85,170.34,4945.5,5110.2,164.7,3.33,0.3,""
"TMCV",10,239.54,386.7,2395.44,3867,1471.57,61.43,-0.17,""
"TMPV",10,529.46,346.2,5294.57,3462,-1832.56,-34.61,0.2,""
"UJJIVANSFB",6,44.82,54.35,268.92,326.1,57.18,21.26,0.78,""
"VIKASLIFE",159,4.94,1.82,785.36,289.38,-495.98,-63.15,0.55,""
