"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3534.8,22170,21208.8,-961.2,-4.34,-1.96,""
"DMART",7,4064,3979.55,28448,27856.85,-591.15,-2.08,-0.11,""
"IRFC",27,146.85,85.1,3964.95,2297.7,-1667.25,-42.05,-1.22,""
"JSWENERGY",1,728.7,540.2,728.7,540.2,-188.5,-25.87,-1.58,""
"NHPC",37,81.51,76.17,3015.91,2818.29,-197.62,-6.55,-0.73,""
"RELIANCE",7,1280,1311,8960,9177,217,2.42,-0.83,""
"TATASTEEL",30,164.85,184,4945.5,5520,574.5,11.62,-0.81,""
"TMCV",10,239.54,478.25,2395.44,4782.5,2387.07,99.65,1.23,""
"TMPV",10,529.46,322,5294.57,3220,-2074.56,-39.18,-0.31,""
"UJJIVANSFB",6,44.82,71.8,268.92,430.8,161.88,60.2,-0.75,""
"VIKASLIFE",1724,1.69,1.21,2916.86,2086.04,-830.82,-28.48,-0.82,""
