"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3278.5,22170,19671,-2499,-11.27,-0.52,""
"DMART",7,4064,3688,28448,25816,-2632,-9.25,-0.05,""
"IRFC",27,146.85,81.07,3964.95,2188.89,-1776.06,-44.79,-0.34,""
"JSWENERGY",1,728.7,525.45,728.7,525.45,-203.25,-27.89,-1.23,""
"NHPC",37,81.51,76.3,3015.91,2823.1,-192.81,-6.39,-0.13,""
"RELIANCE",7,1280,1258,8960,8806,-154,-1.72,-1.33,""
"TATASTEEL",30,164.85,183,4945.5,5490,544.5,11.01,-2.02,""
"TMCV",10,239.54,434.35,2395.44,4343.5,1948.07,81.32,-1.16,""
"TMPV",10,529.46,302,5294.57,3020,-2274.56,-42.96,0.5,""
"UJJIVANSFB",6,44.82,65.54,268.92,393.24,124.32,46.23,-1.47,""
"VIKASLIFE",1724,1.69,1.22,2916.86,2103.28,-813.58,-27.89,-0.81,""
