"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1465.8,26046.2,33713.4,7667.2,29.44,-1.13,""
"HDFCBANK",6,716.85,787.1,4301.1,4722.6,421.5,9.8,0.28,""
"IRFC",27,146.85,100.43,3964.95,2711.61,-1253.34,-31.61,2.86,""
"JSWENERGY",1,728.7,572,728.7,572,-156.7,-21.5,1.77,""
"NHPC",13,89.95,74.44,1169.35,967.72,-201.63,-17.24,-0.45,""
"TATASTEEL",30,164.85,199.01,4945.5,5970.3,1024.8,20.72,1.54,""
"TMCV",10,239.54,402.8,2395.44,4028,1632.57,68.15,-0.96,""
"TMPV",10,529.46,361.05,5294.57,3610.5,-1684.06,-31.81,-8.27,""
"UJJIVANSFB",6,44.82,56.74,268.92,340.44,71.52,26.6,-1.15,""
"VIKASLIFE",159,4.94,1.49,785.36,236.91,-548.45,-69.83,0.68,""
