"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1014.8,26046.2,23340.4,-2705.8,-10.39,0.73,""
"HDFCBANK",6,716.85,991.2,4301.1,5947.2,1646.1,38.27,0.03,""
"IRFC",27,146.85,124.6,3964.95,3364.2,-600.75,-15.15,0,""
"JSWENERGY",1,728.7,482.4,728.7,482.4,-246.3,-33.8,2.67,""
"NHPC",13,89.95,79.16,1169.35,1029.08,-140.27,-12,0.71,""
"TATASTEEL",30,164.85,180.08,4945.5,5402.4,456.9,9.24,2.43,""
"TMCV",10,239.54,415.45,2395.44,4154.5,1759.07,73.43,1.4,""
"TMPV",10,529.46,367.35,5294.57,3673.5,-1621.06,-30.62,1.55,""
"UJJIVANSFB",6,44.82,52.85,268.92,317.1,48.18,17.92,1.69,""
"VIKASLIFE",159,4.94,1.77,785.36,281.43,-503.93,-64.17,0.57,""
