"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1548.7,26046.2,35620.1,9573.9,36.76,-0.51,""
"HDFCBANK",6,716.85,829.85,4301.1,4979.1,678,15.76,3.6,""
"IRFC",27,146.85,90.24,3964.95,2436.48,-1528.47,-38.55,-0.36,""
"JSWENERGY",1,728.7,547.4,728.7,547.4,-181.3,-24.88,-0.51,""
"NHPC",13,89.95,79.84,1169.35,1037.92,-131.43,-11.24,-0.86,""
"TATASTEEL",30,164.85,190.85,4945.5,5725.5,780,15.77,0.53,""
"TMCV",10,239.54,430.05,2395.44,4300.5,1905.07,79.53,-0.46,""
"TMPV",10,529.46,346.95,5294.57,3469.5,-1825.06,-34.47,0.81,""
"UJJIVANSFB",6,44.82,59.78,268.92,358.68,89.76,33.38,0.3,""
"VIKASLIFE",824,2.16,1.43,1782.86,1178.32,-604.54,-33.91,-2.05,""
