"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1483,26046.2,34109,8062.8,30.96,-3.37,""
"HDFCBANK",6,716.85,747,4301.1,4482,180.9,4.21,1.16,""
"IRFC",27,146.85,94.75,3964.95,2558.25,-1406.7,-35.48,-1.34,""
"JSWENERGY",1,728.7,560.65,728.7,560.65,-168.05,-23.06,-1.71,""
"NHPC",13,89.95,72.68,1169.35,944.84,-224.51,-19.2,-1.8,""
"TATASTEEL",30,164.85,199.31,4945.5,5979.3,1033.8,20.9,-1.9,""
"TMCV",10,239.54,364.9,2395.44,3649,1253.56,52.33,0.4,""
"TMPV",10,529.46,381,5294.57,3810,-1484.56,-28.04,-1.75,""
"UJJIVANSFB",6,44.82,52.94,268.92,317.64,48.72,18.12,-1.87,""
"VIKASLIFE",159,4.94,1.47,785.36,233.73,-551.63,-70.24,-0.68,""
