"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1370,26046.2,31510,5463.8,20.98,-0.25,""
"CEATLTD",6,3695,3723.1,22170,22338.6,168.6,0.76,-0.86,""
"IRFC",27,146.85,88.75,3964.95,2396.25,-1568.7,-39.56,-0.6,""
"JSWENERGY",1,728.7,566.3,728.7,566.3,-162.4,-22.29,-0.65,""
"NHPC",13,89.95,77,1169.35,1001,-168.35,-14.4,-1.22,""
"RELIANCE",7,1280,1334.8,8960,9343.6,383.6,4.28,0.74,""
"TATASTEEL",30,164.85,188,4945.5,5640,694.5,14.04,-0.69,""
"TMCV",10,239.54,453.1,2395.44,4531,2135.57,89.15,-1.44,""
"TMPV",10,529.46,347,5294.57,3470,-1824.56,-34.46,0.48,""
"UJJIVANSFB",6,44.82,70.11,268.92,420.66,151.74,56.43,-2.69,""
"VIKASLIFE",824,2.16,1.26,1782.86,1038.24,-744.62,-41.77,0,""
