"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1152.7,26046.2,26512.1,465.9,1.79,2.25,""
"HDFCBANK",6,716.85,795.45,4301.1,4772.7,471.6,10.96,-0.56,""
"IRFC",27,146.85,103,3964.95,2781,-1183.95,-29.86,-1.76,""
"JSWENERGY",1,728.7,542.15,728.7,542.15,-186.55,-25.6,0.75,""
"NHPC",13,89.95,83.04,1169.35,1079.52,-89.83,-7.68,-1.58,""
"TATASTEEL",30,164.85,211.72,4945.5,6351.6,1406.1,28.43,-0.19,""
"TMCV",10,239.54,438.25,2395.44,4382.5,1987.07,82.95,-0.2,""
"TMPV",10,529.46,355.6,5294.57,3556,-1738.56,-32.84,-1.26,""
"UJJIVANSFB",6,44.82,57.46,268.92,344.76,75.84,28.2,-2.23,""
"VIKASLIFE",159,4.94,1.66,785.36,263.94,-521.42,-66.39,-1.78,""
