"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1530.2,26046.2,35194.6,9148.4,35.12,1.05,""
"HDFCBANK",6,716.85,777.65,4301.1,4665.9,364.8,8.48,-5.12,""
"IRFC",27,146.85,88.72,3964.95,2395.44,-1569.51,-39.58,0.35,""
"JSWENERGY",1,728.7,567.7,728.7,567.7,-161,-22.09,4.9,""
"NHPC",13,89.95,81,1169.35,1053,-116.35,-9.95,2.27,""
"TATASTEEL",30,164.85,186.4,4945.5,5592,646.5,13.07,0.27,""
"TMCV",10,239.54,409.4,2395.44,4094,1698.56,70.91,-1.41,""
"TMPV",10,529.46,336.35,5294.57,3363.5,-1931.06,-36.47,0.16,""
"UJJIVANSFB",6,44.82,65.61,268.92,393.66,124.74,46.39,1.13,""
"VIKASLIFE",824,2.16,1.34,1782.86,1104.16,-678.7,-38.07,0,""
