"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1534.75,26046.2,35299.25,9253.05,35.53,2.89,""
"HDFCBANK",6,716.85,738.35,4301.1,4430.1,129,3,-0.04,""
"IRFC",27,146.85,96.04,3964.95,2593.08,-1371.87,-34.6,1.4,""
"JSWENERGY",1,728.7,570.05,728.7,570.05,-158.65,-21.77,-0.16,""
"NHPC",13,89.95,74,1169.35,962,-207.35,-17.73,0.67,""
"TATASTEEL",30,164.85,203.1,4945.5,6093,1147.5,23.2,0.12,""
"TMCV",10,239.54,363.3,2395.44,3633,1237.57,51.66,0.08,""
"TMPV",10,529.46,387.75,5294.57,3877.5,-1417.06,-26.76,-0.37,""
"UJJIVANSFB",6,44.82,53.95,268.92,323.7,54.78,20.37,3.1,""
"VIKASLIFE",159,4.94,1.48,785.36,235.32,-550.04,-70.04,0.68,""
