"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1085.3,26046.2,24961.9,-1084.3,-4.16,3.9,""
"HDFCBANK",6,716.85,810.3,4301.1,4861.8,560.7,13.04,1.58,""
"IRFC",27,146.85,100.26,3964.95,2707.02,-1257.93,-31.73,1.8,""
"JSWENERGY",1,728.7,488.75,728.7,488.75,-239.95,-32.93,-0.1,""
"NHPC",13,89.95,77.09,1169.35,1002.17,-167.18,-14.3,-0.03,""
"TATASTEEL",30,164.85,206.6,4945.5,6198,1252.5,25.33,0.66,""
"TMCV",10,239.54,444.55,2395.44,4445.5,2050.07,85.58,4.45,""
"TMPV",10,529.46,342.6,5294.57,3426,-1868.56,-35.29,2.81,""
"UJJIVANSFB",6,44.82,60.34,268.92,362.04,93.12,34.63,2.48,""
"VIKASLIFE",159,4.94,1.63,785.36,259.17,-526.19,-67,1.87,""
