"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1475.1,26046.2,33927.3,7881.1,30.26,-1,""
"HDFCBANK",6,716.85,744.55,4301.1,4467.3,166.2,3.86,-1.86,""
"IRFC",27,146.85,97.55,3964.95,2633.85,-1331.1,-33.57,-1.66,""
"JSWENERGY",1,728.7,595.05,728.7,595.05,-133.65,-18.34,-1.16,""
"NHPC",13,89.95,78.82,1169.35,1024.66,-144.69,-12.37,-2.37,""
"TATASTEEL",30,164.85,208.9,4945.5,6267,1321.5,26.72,-2.72,""
"TMCV",10,239.54,380.15,2395.44,3801.5,1406.06,58.7,-1.09,""
"TMPV",10,529.46,393.9,5294.57,3939,-1355.57,-25.6,-1.76,""
"UJJIVANSFB",6,44.82,54.49,268.92,326.94,58.02,21.58,-0.02,""
"VIKASLIFE",159,4.94,1.53,785.36,243.27,-542.09,-69.02,1.32,""
