"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1369,26046.2,31487,5440.8,20.89,-0.25,""
"CEATLTD",6,3695,3786,22170,22716,546,2.46,1.69,""
"IRFC",27,146.85,88.5,3964.95,2389.5,-1575.45,-39.73,-0.28,""
"JSWENERGY",1,728.7,577.2,728.7,577.2,-151.5,-20.79,1.92,""
"NHPC",13,89.95,76.8,1169.35,998.4,-170.95,-14.62,-0.26,""
"RELIANCE",7,1280,1327.3,8960,9291.1,331.1,3.7,-0.56,""
"TATASTEEL",30,164.85,190.05,4945.5,5701.5,756,15.29,1.09,""
"TMCV",10,239.54,450.2,2395.44,4502,2106.57,87.94,-0.64,""
"TMPV",10,529.46,347.1,5294.57,3471,-1823.56,-34.44,0.03,""
"UJJIVANSFB",6,44.82,69.76,268.92,418.56,149.64,55.64,-0.5,""
"VIKASLIFE",824,2.16,1.26,1782.86,1038.24,-744.62,-41.77,0,""
