"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3419.05,22170,20514.3,-1655.7,-7.47,-2.67,""
"DMART",7,4064,3900,28448,27300,-1148,-4.04,1.81,""
"IRFC",27,146.85,83.34,3964.95,2250.18,-1714.77,-43.25,-0.67,""
"JSWENERGY",1,728.7,520.4,728.7,520.4,-208.3,-28.59,-2.78,""
"NHPC",37,81.51,75,3015.91,2775,-240.91,-7.99,-0.46,""
"RELIANCE",7,1280,1277,8960,8939,-21,-0.23,-0.78,""
"TATASTEEL",30,164.85,184.35,4945.5,5530.5,585,11.83,-1.15,""
"TMCV",10,239.54,471.1,2395.44,4711,2315.57,96.67,1.03,""
"TMPV",10,529.46,308.85,5294.57,3088.5,-2206.06,-41.67,-3.3,""
"UJJIVANSFB",6,44.82,68.88,268.92,413.28,144.36,53.68,1.47,""
"VIKASLIFE",1724,1.69,1.3,2916.86,2241.2,-675.66,-23.16,-3.7,""
