"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1356.55,26046.2,31200.65,5154.45,19.79,-0.49,""
"HDFCBANK",6,716.85,759.05,4301.1,4554.3,253.2,5.89,-0.06,""
"IRFC",27,146.85,98.15,3964.95,2650.05,-1314.9,-33.16,1.03,""
"JSWENERGY",1,728.7,548.45,728.7,548.45,-180.25,-24.74,2.11,""
"NHPC",13,89.95,78.99,1169.35,1026.87,-142.48,-12.18,-0.67,""
"TATASTEEL",30,164.85,208.55,4945.5,6256.5,1311,26.51,0.72,""
"TMCV",10,239.54,380,2395.44,3800,1404.57,58.64,0.05,""
"TMPV",10,529.46,361.35,5294.57,3613.5,-1681.06,-31.75,0.03,""
"UJJIVANSFB",6,44.82,52.86,268.92,317.16,48.24,17.94,-1.31,""
"VIKASLIFE",159,4.94,1.44,785.36,228.96,-556.4,-70.85,0.7,""
