"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,937.1,26046.2,21553.3,-4492.9,-17.25,-0.66,""
"HDFCBANK",6,716.85,934.75,4301.1,5608.5,1307.4,30.4,-0.23,""
"IRFC",27,146.85,121.3,3964.95,3275.1,-689.85,-17.4,-1.08,""
"JSWENERGY",1,728.7,493.1,728.7,493.1,-235.6,-32.33,-1.14,""
"NHPC",13,89.95,81.23,1169.35,1055.99,-113.36,-9.69,-1.9,""
"TATASTEEL",30,164.85,182.45,4945.5,5473.5,528,10.68,-0.43,""
"TMCV",10,239.54,423.9,2395.44,4239,1843.56,76.96,-0.24,""
"TMPV",10,529.46,349.45,5294.57,3494.5,-1800.06,-34,-0.67,""
"UJJIVANSFB",6,44.82,57.23,268.92,343.38,74.46,27.69,-1.87,""
"VIKASLIFE",159,4.94,1.8,785.36,286.2,-499.16,-63.56,1.69,""
