"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1127.3,26046.2,25927.9,-118.3,-0.45,0.75,""
"HDFCBANK",6,716.85,799.9,4301.1,4799.4,498.3,11.59,0.55,""
"IRFC",27,146.85,104.85,3964.95,2830.95,-1134,-28.6,1.56,""
"JSWENERGY",1,728.7,538.05,728.7,538.05,-190.65,-26.16,0.39,""
"NHPC",13,89.95,84.37,1169.35,1096.81,-72.54,-6.2,3.65,""
"TATASTEEL",30,164.85,212.05,4945.5,6361.5,1416,28.63,0.64,""
"TMCV",10,239.54,439.1,2395.44,4391,1995.57,83.31,-0.66,""
"TMPV",10,529.46,360.15,5294.57,3601.5,-1693.07,-31.98,1.04,""
"UJJIVANSFB",6,44.82,58.73,268.92,352.38,83.46,31.04,-0.86,""
"VIKASLIFE-BE",159,4.94,1.69,785.36,268.71,-516.65,-65.79,2.42,""
