"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3301.8,22170,19810.8,-2359.2,-10.64,0.24,""
"DMART",7,4064,3690,28448,25830,-2618,-9.2,-1.2,""
"IRFC",27,146.85,81.08,3964.95,2189.16,-1775.79,-44.79,-0.38,""
"JSWENERGY",1,728.7,530.45,728.7,530.45,-198.25,-27.21,-0.81,""
"NHPC",37,81.51,76.4,3015.91,2826.8,-189.11,-6.27,-0.52,""
"RELIANCE",7,1280,1275,8960,8925,-35,-0.39,-0.47,""
"TATASTEEL",30,164.85,186.78,4945.5,5603.4,657.9,13.3,-1.04,""
"TMCV",10,239.54,439.25,2395.44,4392.5,1997.07,83.37,-1.28,""
"TMPV",10,529.46,300.5,5294.57,3005,-2289.56,-43.24,-1.05,""
"UJJIVANSFB",6,44.82,66.49,268.92,398.94,130.02,48.35,3.7,""
"VIKASLIFE",1724,1.69,1.23,2916.86,2120.52,-796.34,-27.3,-1.6,""
