"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,806.9,26046.2,18558.7,-7487.5,-28.75,-3.08,""
"HDFCBANK",6,716.85,731.8,4301.1,4390.8,89.7,2.09,-3.23,""
"IRFC",27,146.85,87.25,3964.95,2355.75,-1609.2,-40.59,-5.68,""
"JSWENERGY",1,728.7,471.6,728.7,471.6,-257.1,-35.28,-2.72,""
"NHPC",13,89.95,73.72,1169.35,958.36,-210.99,-18.04,-3.75,""
"TATASTEEL",30,164.85,191.8,4945.5,5754,808.5,16.35,-0.75,""
"TMCV",10,239.54,394.8,2395.44,3948,1552.57,64.81,-7.67,""
"TMPV",10,529.46,296.25,5294.57,2962.5,-2332.06,-44.05,-2.29,""
"UJJIVANSFB",6,44.82,50.53,268.92,303.18,34.26,12.74,-4.53,""
"VIKASLIFE",159,4.94,1.06,785.36,168.54,-616.82,-78.54,-7.83,""
