"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1525.7,26046.2,35091.1,9044.9,34.73,7.19,""
"HDFCBANK",6,716.85,747.35,4301.1,4484.1,183,4.25,-0.95,""
"IRFC",27,146.85,96.48,3964.95,2604.96,-1359.99,-34.3,0.42,""
"JSWENERGY",1,728.7,584.2,728.7,584.2,-144.5,-19.83,-0.99,""
"NHPC",13,89.95,74.95,1169.35,974.35,-195,-16.68,-1.56,""
"TATASTEEL",30,164.85,206.77,4945.5,6203.1,1257.6,25.43,-1.8,""
"TMCV",10,239.54,369.05,2395.44,3690.5,1295.07,54.06,-1.3,""
"TMPV",10,529.46,397.8,5294.57,3978,-1316.56,-24.87,-0.48,""
"UJJIVANSFB",6,44.82,53.56,268.92,321.36,52.44,19.5,0.89,""
"VIKASLIFE",159,4.94,1.49,785.36,236.91,-548.45,-69.83,0,""
