"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3532.9,22170,21197.4,-972.6,-4.39,-0.93,""
"DMART",7,4064,3909.6,28448,27367.2,-1080.8,-3.8,-0.77,""
"IRFC",27,146.85,85.31,3964.95,2303.37,-1661.58,-41.91,-0.8,""
"JSWENERGY",1,728.7,547,728.7,547,-181.7,-24.93,0.42,""
"NHPC",37,81.51,76.62,3015.91,2834.94,-180.97,-6,-0.04,""
"RELIANCE",7,1280,1317,8960,9219,259,2.89,0.55,""
"TATASTEEL",30,164.85,186.94,4945.5,5608.2,662.7,13.4,0.34,""
"TMCV",10,239.54,474.9,2395.44,4749,2353.56,98.25,-0.03,""
"TMPV",10,529.46,314.25,5294.57,3142.5,-2152.06,-40.65,-0.05,""
"UJJIVANSFB",6,44.82,69.41,268.92,416.46,147.54,54.86,0,""
"VIKASLIFE",1724,1.69,1.24,2916.86,2137.76,-779.1,-26.71,0,""
