"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1414.9,26046.2,32542.7,6496.5,24.94,3.53,""
"HDFCBANK",6,716.85,769.6,4301.1,4617.6,316.5,7.36,2.67,""
"IRFC",27,146.85,100.19,3964.95,2705.13,-1259.82,-31.77,-1.27,""
"JSWENERGY",1,728.7,512.35,728.7,512.35,-216.35,-29.69,0.36,""
"NHPC",13,89.95,78.42,1169.35,1019.46,-149.89,-12.82,0.33,""
"TATASTEEL",30,164.85,221.15,4945.5,6634.5,1689,34.15,0.66,""
"TMCV",10,239.54,379.5,2395.44,3795,1399.57,58.43,-1.26,""
"TMPV",10,529.46,338.75,5294.57,3387.5,-1907.06,-36.02,0.56,""
"UJJIVANSFB",6,44.82,56.46,268.92,338.76,69.84,25.97,-0.62,""
"VIKASLIFE-BE",159,4.94,1.51,785.36,240.09,-545.27,-69.43,-1.31,""
