"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,866.95,26046.2,19939.85,-6106.35,-23.44,0.65,""
"HDFCBANK",6,716.85,840.5,4301.1,5043,741.9,17.25,2.88,""
"IRFC",27,146.85,96.45,3964.95,2604.15,-1360.8,-34.32,-0.77,""
"JPASSOCIAT",30,16.25,2.55,487.61,76.5,-411.11,-84.31,-1.54,""
"JSWENERGY",1,728.7,505.15,728.7,505.15,-223.55,-30.68,-1.52,""
"NHPC",13,89.95,75.31,1169.35,979.03,-190.32,-16.28,0.37,""
"TATASTEEL",30,164.85,186.94,4945.5,5608.2,662.7,13.4,1.87,""
"TMCV",10,239.54,437.75,2395.44,4377.5,1982.07,82.74,2.82,""
"TMPV",10,529.46,314.15,5294.57,3141.5,-2153.07,-40.67,-0.05,""
"UJJIVANSFB",6,44.82,50.44,268.92,302.64,33.72,12.54,-0.47,""
"VIKASLIFE",159,4.94,1.26,785.36,200.34,-585.02,-74.49,-3.82,""
