"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1555.2,26046.2,35769.6,9723.4,37.33,1.32,""
"HDFCBANK",6,716.85,796.25,4301.1,4777.5,476.4,11.08,0.01,""
"IRFC",27,146.85,90.8,3964.95,2451.6,-1513.35,-38.17,-0.42,""
"JSWENERGY",1,728.7,565.45,728.7,565.45,-163.25,-22.4,-0.75,""
"NHPC",13,89.95,80.59,1169.35,1047.67,-121.68,-10.41,1.28,""
"TATASTEEL",30,164.85,187.67,4945.5,5630.1,684.6,13.84,1.35,""
"TMCV",10,239.54,440.5,2395.44,4405,2009.57,83.89,2.1,""
"TMPV",10,529.46,346,5294.57,3460,-1834.56,-34.65,-0.53,""
"UJJIVANSFB",6,44.82,61.2,268.92,367.2,98.28,36.55,-0.2,""
"VIKASLIFE",824,2.16,1.48,1782.86,1219.52,-563.34,-31.6,0,""
