"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,858.8,26046.2,19752.4,-6293.8,-24.16,4.36,""
"HDFCBANK",6,716.85,935.5,4301.1,5613,1311.9,30.5,0.3,""
"IRFC",27,146.85,120.05,3964.95,3241.35,-723.6,-18.25,-0.17,""
"JSWENERGY",1,728.7,458.65,728.7,458.65,-270.05,-37.06,2.78,""
"NHPC",13,89.95,79.15,1169.35,1028.95,-140.4,-12.01,0.3,""
"TATASTEEL",30,164.85,202.32,4945.5,6069.6,1124.1,22.73,4.37,""
"TMCV",10,239.54,470.2,2395.44,4702,2306.57,96.29,0.45,""
"TMPV",10,529.46,351.85,5294.57,3518.5,-1776.06,-33.55,3.35,""
"UJJIVANSFB",6,44.82,62.41,268.92,374.46,105.54,39.25,-1.06,""
"VIKASLIFE",159,4.94,1.69,785.36,268.71,-516.65,-65.79,0,""
