"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1387.4,26046.2,31910.2,5864,22.51,2.33,""
"HDFCBANK",6,716.85,764.55,4301.1,4587.3,286.2,6.65,-2.13,""
"IRFC",27,146.85,103.1,3964.95,2783.7,-1181.25,-29.79,-2.78,""
"JSWENERGY",1,728.7,556.65,728.7,556.65,-172.05,-23.61,-2.55,""
"NHPC",13,89.95,79.27,1169.35,1030.51,-138.84,-11.87,-1.91,""
"TATASTEEL",30,164.85,212.08,4945.5,6362.4,1416.9,28.65,-1.12,""
"TMCV",10,239.54,411.05,2395.44,4110.5,1715.07,71.6,-4.65,""
"TMPV",10,529.46,346,5294.57,3460,-1834.56,-34.65,-2.66,""
"UJJIVANSFB",6,44.82,59.08,268.92,354.48,85.56,31.82,-5.32,""
"VIKASLIFE-BE",159,4.94,1.59,785.36,252.81,-532.55,-67.81,-0.63,""
