"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,914,26046.2,21022,-5024.2,-19.29,-1.73,""
"HDFCBANK",6,716.85,927.6,4301.1,5565.6,1264.5,29.4,-0.38,""
"IRFC",27,146.85,120.65,3964.95,3257.55,-707.4,-17.84,-1.27,""
"JPASSOCIAT-BE",30,16.25,3.1,487.61,93,-394.61,-80.93,-4.91,""
"JSWENERGY",1,728.7,486.35,728.7,486.35,-242.35,-33.26,-1.31,""
"NHPC",13,89.95,79.38,1169.35,1031.94,-137.41,-11.75,-1.15,""
"TATASTEEL",30,164.85,188.27,4945.5,5648.1,702.6,14.21,0.03,""
"TMCV",10,239.54,441.35,2395.44,4413.5,2018.07,84.25,0.63,""
"TMPV",10,529.46,343.9,5294.57,3439,-1855.57,-35.05,-2.74,""
"UJJIVANSFB",6,44.82,60.26,268.92,361.56,92.64,34.45,-0.15,""
"VIKASLIFE",159,4.94,1.76,785.36,279.84,-505.52,-64.37,-1.12,""
