"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,859,26046.2,19757,-6289.2,-24.15,-2.94,""
"HDFCBANK",6,716.85,857.1,4301.1,5142.6,841.5,19.56,-2.39,""
"IRFC",27,146.85,99.47,3964.95,2685.69,-1279.26,-32.26,0.63,""
"JPASSOCIAT",30,16.25,2.44,487.61,73.2,-414.41,-84.99,-1.61,""
"JSWENERGY",1,728.7,488.2,728.7,488.2,-240.5,-33,1.81,""
"NHPC",13,89.95,74.18,1169.35,964.34,-205.01,-17.53,0.04,""
"TATASTEEL",30,164.85,198.5,4945.5,5955,1009.5,20.41,-1.05,""
"TMCV",10,239.54,474,2395.44,4740,2344.57,97.88,-1.34,""
"TMPV",10,529.46,350.7,5294.57,3507,-1787.56,-33.76,-1.25,""
"UJJIVANSFB",6,44.82,55.86,268.92,335.16,66.24,24.63,0.02,""
"VIKASLIFE",159,4.94,1.38,785.36,219.42,-565.94,-72.06,1.47,""
