"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,890.8,26046.2,20488.4,-5557.8,-21.34,2.51,""
"HDFCBANK",6,716.85,842.95,4301.1,5057.7,756.6,17.59,-0.34,""
"IRFC",27,146.85,98.25,3964.95,2652.75,-1312.2,-33.09,1.55,""
"JPASSOCIAT",30,16.25,2.42,487.61,72.6,-415.01,-85.11,0,""
"JSWENERGY",1,728.7,509.1,728.7,509.1,-219.6,-30.14,0.65,""
"NHPC",13,89.95,77.36,1169.35,1005.68,-163.67,-14,0.61,""
"TATASTEEL",30,164.85,195.41,4945.5,5862.3,916.8,18.54,-0.01,""
"TMCV",10,239.54,447.65,2395.44,4476.5,2081.06,86.88,1.29,""
"TMPV",10,529.46,324.55,5294.57,3245.5,-2049.06,-38.7,1.66,""
"UJJIVANSFB",6,44.82,55.59,268.92,333.54,64.62,24.03,8.21,""
"VIKASLIFE",159,4.94,1.33,785.36,211.47,-573.89,-73.07,6.4,""
