"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,839.3,26046.2,19303.9,-6742.3,-25.89,2.76,""
"HDFCBANK",6,716.85,764.9,4301.1,4589.4,288.3,6.7,2.79,""
"IRFC",27,146.85,92.87,3964.95,2507.49,-1457.46,-36.76,3.82,""
"JSWENERGY",1,728.7,484,728.7,484,-244.7,-33.58,0.27,""
"NHPC",13,89.95,76.53,1169.35,994.89,-174.46,-14.92,1.62,""
"TATASTEEL",30,164.85,190.9,4945.5,5727,781.5,15.8,1.95,""
"TMCV",10,239.54,415.25,2395.44,4152.5,1757.07,73.35,5.14,""
"TMPV",10,529.46,311.2,5294.57,3112,-2182.56,-41.22,1.95,""
"UJJIVANSFB",6,44.82,51.39,268.92,308.34,39.42,14.66,0.78,""
"VIKASLIFE",159,4.94,1.23,785.36,195.57,-589.79,-75.1,0.82,""
