"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1492.2,26046.2,34320.6,8274.4,31.77,-0.69,""
"HDFCBANK",6,716.85,798.4,4301.1,4790.4,489.3,11.38,-0.08,""
"IRFC",27,146.85,90.51,3964.95,2443.77,-1521.18,-38.37,-0.13,""
"JSWENERGY",1,728.7,583.6,728.7,583.6,-145.1,-19.91,-0.5,""
"NHPC",13,89.95,81.33,1169.35,1057.29,-112.06,-9.58,-0.29,""
"TATASTEEL",30,164.85,188.15,4945.5,5644.5,699,14.13,-0.76,""
"TMCV",10,239.54,423.15,2395.44,4231.5,1836.06,76.65,-0.01,""
"TMPV",10,529.46,352.2,5294.57,3522,-1772.56,-33.48,2.07,""
"UJJIVANSFB",6,44.82,59.11,268.92,354.66,85.74,31.88,3.87,""
"VIKASLIFE",824,2.16,1.45,1782.86,1194.8,-588.06,-32.98,0.69,""
