Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,954.2,26046.2,21946.6,-4099.6,-15.74,2.35
HDFCBANK,6,716.85,953.1,4301.1,5718.6,1417.5,32.96,0.46
IRFC,27,146.85,116,3964.95,3132,-832.95,-21.01,0.76
JPASSOCIAT,30,16.25,3.26,487.61,97.8,-389.81,-79.94,4.82
JSWENERGY,1,728.7,468.55,728.7,468.55,-260.15,-35.7,1.94
NHPC,13,89.95,78.48,1169.35,1020.24,-149.11,-12.75,-0.01
TATASTEEL,30,164.85,195.25,4945.5,5857.5,912,18.44,1.19
TMCV,10,239.54,458.45,2395.44,4584.5,2189.07,91.38,0.11
TMPV,10,529.46,375.45,5294.57,3754.5,-1540.06,-29.09,0.91
UJJIVANSFB,6,44.82,65.3,268.92,391.8,122.88,45.69,2.19
VIKASLIFE,159,4.94,1.74,785.36,276.66,-508.7,-64.77,2.96
