"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1482,26046.2,34086,8039.8,30.87,-0.06,""
"HDFCBANK",6,716.85,784.9,4301.1,4709.4,408.3,9.49,0.97,""
"IRFC",27,146.85,97.63,3964.95,2636.01,-1328.94,-33.52,0.57,""
"JSWENERGY",1,728.7,562.05,728.7,562.05,-166.65,-22.87,-0.74,""
"NHPC",13,89.95,74.75,1169.35,971.75,-197.6,-16.9,0.08,""
"TATASTEEL",30,164.85,196,4945.5,5880,934.5,18.9,-0.71,""
"TMCV",10,239.54,406.35,2395.44,4063.5,1668.07,69.64,-0.06,""
"TMPV",10,529.46,393.6,5294.57,3936,-1358.56,-25.66,-0.82,""
"UJJIVANSFB",6,44.82,57.15,268.92,342.9,73.98,27.51,0.35,""
"VIKASLIFE",159,4.94,1.48,785.36,235.32,-550.04,-70.04,-1.33,""
