"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1500.65,26046.2,34514.95,8468.75,32.51,-1.7,""
"HDFCBANK",6,716.85,798.9,4301.1,4793.4,492.3,11.45,0.33,""
"IRFC",27,146.85,90.63,3964.95,2447.01,-1517.94,-38.28,-1.25,""
"JSWENERGY",1,728.7,586.25,728.7,586.25,-142.45,-19.55,2.22,""
"NHPC",13,89.95,81.57,1169.35,1060.41,-108.94,-9.32,2.73,""
"TATASTEEL",30,164.85,189.57,4945.5,5687.1,741.6,15,0.46,""
"TMCV",10,239.54,423.2,2395.44,4232,1836.57,76.67,-2.07,""
"TMPV",10,529.46,345.05,5294.57,3450.5,-1844.06,-34.83,-2.31,""
"UJJIVANSFB",6,44.82,56.91,268.92,341.46,72.54,26.97,1.35,""
"VIKASLIFE",824,2.16,1.44,1782.86,1186.56,-596.3,-33.45,-1.37,""
