"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1150.4,26046.2,26459.2,413,1.59,-0.36,""
"HDFCBANK",6,716.85,811.75,4301.1,4870.5,569.4,13.24,2.05,""
"IRFC",27,146.85,103.61,3964.95,2797.47,-1167.48,-29.45,0.57,""
"JSWENERGY",1,728.7,546.65,728.7,546.65,-182.05,-24.98,0.66,""
"NHPC",13,89.95,82.63,1169.35,1074.19,-95.16,-8.14,-0.57,""
"TATASTEEL",30,164.85,212.01,4945.5,6360.3,1414.8,28.61,0.14,""
"TMCV",10,239.54,442.55,2395.44,4425.5,2030.07,84.75,0.95,""
"TMPV",10,529.46,355.9,5294.57,3559,-1735.57,-32.78,0.06,""
"UJJIVANSFB",6,44.82,58.56,268.92,351.36,82.44,30.66,1.91,""
"VIKASLIFE-BE",159,4.94,1.64,785.36,260.76,-524.6,-66.8,0,""
