"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1544.45,26046.2,35522.35,9476.15,36.38,-0.73,""
"HDFCBANK",6,716.85,808.3,4301.1,4849.8,548.7,12.76,-0.88,""
"IRFC",27,146.85,88.41,3964.95,2387.07,-1577.88,-39.8,-0.52,""
"JSWENERGY",1,728.7,543.4,728.7,543.4,-185.3,-25.43,-1.18,""
"NHPC",13,89.95,78.91,1169.35,1025.83,-143.52,-12.27,-0.27,""
"TATASTEEL",30,164.85,185.49,4945.5,5564.7,619.2,12.52,0.12,""
"TMCV",10,239.54,412.35,2395.44,4123.5,1728.07,72.14,-2.67,""
"TMPV",10,529.46,331.8,5294.57,3318,-1976.56,-37.33,-0.36,""
"UJJIVANSFB",6,44.82,65.62,268.92,393.72,124.8,46.41,0.17,""
"VIKASLIFE",824,2.16,1.37,1782.86,1128.88,-653.98,-36.68,-1.44,""
