"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1249.15,26046.2,28730.45,2684.25,10.31,1.54,""
"HDFCBANK",6,716.85,782.3,4301.1,4693.8,392.7,9.13,-0.96,""
"IRFC",27,146.85,105.14,3964.95,2838.78,-1126.17,-28.4,-0.41,""
"JSWENERGY",1,728.7,580.9,728.7,580.9,-147.8,-20.28,1.24,""
"NHPC",13,89.95,85.38,1169.35,1109.94,-59.41,-5.08,2.58,""
"TATASTEEL",30,164.85,215.05,4945.5,6451.5,1506,30.45,0.73,""
"TMCV",10,239.54,418.3,2395.44,4183,1787.57,74.62,-0.58,""
"TMPV",10,529.46,350.8,5294.57,3508,-1786.56,-33.74,-1,""
"UJJIVANSFB",6,44.82,56.14,268.92,336.84,67.92,25.26,-2.4,""
"VIKASLIFE",159,4.94,1.58,785.36,251.22,-534.14,-68.01,-1.25,""
