"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,854.9,26046.2,19662.7,-6383.5,-24.51,-4.08,""
"HDFCBANK",6,716.85,798.2,4301.1,4789.2,488.1,11.35,-5.32,""
"IRFC",27,146.85,95.05,3964.95,2566.35,-1398.6,-35.27,-3.26,""
"JSWENERGY",1,728.7,505.9,728.7,505.9,-222.8,-30.57,-0.63,""
"NHPC",13,89.95,76.24,1169.35,991.12,-178.23,-15.24,-1.45,""
"TATASTEEL",30,164.85,190.51,4945.5,5715.3,769.8,15.57,-2.51,""
"TMCV",10,239.54,417.25,2395.44,4172.5,1777.07,74.19,-6.79,""
"TMPV",10,529.46,309.3,5294.57,3093,-2201.56,-41.58,-4.76,""
"UJJIVANSFB",6,44.82,52.49,268.92,314.94,46.02,17.11,-5.61,""
"VIKASLIFE",159,4.94,1.3,785.36,206.7,-578.66,-73.68,-2.99,""
