"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,822.9,26046.2,18926.7,-7119.5,-27.33,2.98,""
"HDFCBANK",6,716.85,932.65,4301.1,5595.9,1294.8,30.1,0.63,""
"IRFC",27,146.85,120.25,3964.95,3246.75,-718.2,-18.11,4.75,""
"JSWENERGY",1,728.7,446.25,728.7,446.25,-282.45,-38.76,1.41,""
"NHPC",13,89.95,78.91,1169.35,1025.83,-143.52,-12.27,4.92,""
"TATASTEEL",30,164.85,193.8,4945.5,5814,868.5,17.56,0.68,""
"TMCV",10,239.54,467.95,2395.44,4679.5,2284.07,95.35,5.42,""
"TMPV",10,529.46,340.45,5294.57,3404.5,-1890.06,-35.7,-0.03,""
"UJJIVANSFB",6,44.82,63.07,268.92,378.42,109.5,40.72,1.59,""
"VIKASLIFE",159,4.94,1.69,785.36,268.71,-516.65,-65.79,0,""
