"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3608.5,22170,21651,-519,-2.34,-2.18,""
"DMART",7,4064,3995,28448,27965,-483,-1.7,-1.6,""
"IRFC",27,146.85,87,3964.95,2349,-1615.95,-40.76,-0.68,""
"JSWENERGY",1,728.7,555.5,728.7,555.5,-173.2,-23.77,-0.8,""
"NHPC",37,81.51,76.65,3015.91,2836.05,-179.86,-5.96,-0.33,""
"RELIANCE",7,1280,1316,8960,9212,252,2.81,0.46,""
"TATASTEEL",30,164.85,186,4945.5,5580,634.5,12.83,1.36,""
"TMCV",10,239.54,470.4,2395.44,4704,2308.56,96.37,-0.82,""
"TMPV",10,529.46,330.2,5294.57,3302,-1992.56,-37.63,-1.29,""
"UJJIVANSFB",6,44.82,72.21,268.92,433.26,164.34,61.11,-0.36,""
"VIKASLIFE",1724,1.69,1.24,2916.86,2137.76,-779.1,-26.71,-0.8,""
