"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1423.3,26046.2,32735.9,6689.7,25.68,-0.29,""
"HDFCBANK",6,716.85,754.2,4301.1,4525.2,224.1,5.21,0.07,""
"IRFC",27,146.85,96.08,3964.95,2594.16,-1370.79,-34.57,0.31,""
"JSWENERGY",1,728.7,590.05,728.7,590.05,-138.65,-19.03,1.7,""
"NHPC",13,89.95,76.14,1169.35,989.82,-179.53,-15.35,1.36,""
"TATASTEEL",30,164.85,210.57,4945.5,6317.1,1371.6,27.73,-0.62,""
"TMCV",10,239.54,373.6,2395.44,3736,1340.57,55.96,-0.09,""
"TMPV",10,529.46,399.7,5294.57,3997,-1297.56,-24.51,0.39,""
"UJJIVANSFB",6,44.82,53.09,268.92,318.54,49.62,18.45,-1.3,""
"VIKASLIFE",159,4.94,1.49,785.36,236.91,-548.45,-69.83,0,""
