"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,871.95,26046.2,20054.85,-5991.35,-23,-3.5,""
"HDFCBANK",6,716.85,868.4,4301.1,5210.4,909.3,21.14,-1.51,""
"IRFC",27,146.85,97.8,3964.95,2640.6,-1324.35,-33.4,-1.66,""
"JPASSOCIAT",30,16.25,2.61,487.61,78.3,-409.31,-83.94,-4.74,""
"JSWENERGY",1,728.7,467.3,728.7,467.3,-261.4,-35.87,-3.02,""
"NHPC",13,89.95,72.23,1169.35,938.99,-230.36,-19.7,-1.24,""
"TATASTEEL",30,164.85,196.73,4945.5,5901.9,956.4,19.34,-6.77,""
"TMCV",10,239.54,470.75,2395.44,4707.5,2312.07,96.52,-5.47,""
"TMPV",10,529.46,351.2,5294.57,3512,-1782.56,-33.67,-5.23,""
"UJJIVANSFB",6,44.82,54.27,268.92,325.62,56.7,21.08,-5.25,""
"VIKASLIFE",159,4.94,1.38,785.36,219.42,-565.94,-72.06,-1.43,""
