Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,994.6,26046.2,22875.8,-3170.4,-12.17,1.6
HDFCBANK,6,716.85,927.1,4301.1,5562.6,1261.5,29.33,-0.57
IRFC,27,146.85,114.33,3964.95,3086.91,-878.04,-22.15,-0.98
JPASSOCIAT,30,16.25,3.36,487.61,100.8,-386.81,-79.33,5
JSWENERGY,1,728.7,482.35,728.7,482.35,-246.35,-33.81,-0.28
NHPC,13,89.95,77.55,1169.35,1008.15,-161.2,-13.79,0.78
TATASTEEL,30,164.85,207.59,4945.5,6227.7,1282.2,25.93,-0.2
TMCV,10,239.54,487.2,2395.44,4872,2476.57,103.39,3.1
TMPV,10,529.46,384.7,5294.57,3847,-1447.56,-27.34,1.41
UJJIVANSFB,6,44.82,62.71,268.92,376.26,107.34,39.92,-1.86
VIKASLIFE,159,4.94,1.65,785.36,262.35,-523.01,-66.59,-1.2
